CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
667	0.41538	0.34667	0.30993		99.57762	99.64626	99.68291
668	0.41108	0.34046	0.30469		99.58202	99.65257	99.68825
669	0.40652	0.33414	0.29966		99.58668	99.65898	99.69338
670	0.40171	0.32773	0.29484		99.59158	99.66549	99.6983
671	0.39667	0.32124	0.29027		99.59672	99.67207	99.70296
672	0.3914	0.3147	0.28597		99.60208	99.67871	99.70735
673	0.38591	0.30811	0.28198		99.60767	99.68539	99.71145
674	0.38022	0.3015	0.27831		99.61345	99.69211	99.71521
675	0.37432	0.29488	0.275		99.61945	99.69881	99.71862
676	0.36824	0.28827	0.27207		99.62563	99.70552	99.72164
677	0.36198	0.2817	0.26956		99.63197	99.71219	99.72425
678	0.35555	0.27518	0.26749		99.63849	99.7188	99.72642
679	0.34898	0.26873	0.26588		99.64516	99.72533	99.72811
680	0.34227	0.26238	0.26478		99.65196	99.73178	99.72931
681	0.33543	0.25615	0.26421		99.65889	99.73811	99.72997
682	0.32849	0.25006	0.26421		99.66592	99.74429	99.73007
683	0.32146	0.24413	0.26479		99.67304	99.75031	99.72958
684	0.31435	0.23839	0.266		99.68024	99.75615	99.72847
685	0.30717	0.23286	0.26786		99.68751	99.76176	99.7267
686	0.29996	0.22756	0.2704		99.69481	99.76715	99.72424
687	0.29272	0.22252	0.27367		99.70214	99.77229	99.72108
688	0.28539	0.21773	0.27771		99.70956	99.77716	99.71712
689	0.27808	0.21326	0.28255		99.71696	99.78173	99.71238
690	0.2708	0.20914	0.28821		99.72433	99.78594	99.70681
691	0.26358	0.20538	0.29472		99.73164	99.78979	99.70039
692	0.25644	0.20203	0.30211		99.73887	99.79323	99.69309
693	0.24939	0.1991	0.31042		99.746	99.79626	99.68488
694	0.24247	0.19662	0.31968		99.75301	99.79882	99.67571
695	0.23568	0.19462	0.32991		99.75989	99.80091	99.66556
696	0.22906	0.19312	0.34116		99.7666	99.80249	99.6544
697	0.22263	0.19217	0.35345		99.77312	99.80353	99.6422
698	0.2164	0.19178	0.36681		99.77943	99.80402	99.62893
699	0.21041	0.19198	0.38127		99.78551	99.8039	99.61456
700	0.20467	0.1928	0.39687		99.79134	99.80317	99.59904
701	0.19937	0.19441	0.41361		99.79665	99.80158	99.58233
702	0.19439	0.19668	0.4315		99.80166	99.79933	99.56445
703	0.18973	0.19965	0.45059		99.80634	99.79638	99.54539
704	0.18543	0.20334	0.4709		99.81067	99.79271	99.52511
705	0.1815	0.20778	0.49246		99.81461	99.7883	99.50357
706	0.17798	0.21299	0.51529		99.81816	99.7831	99.48076
707	0.17488	0.21901	0.53943		99.82127	99.77711	99.45665
708	0.17223	0.22585	0.56489		99.82394	99.77029	99.43121
709	0.17006	0.23356	0.59171		99.82614	99.7626	99.4044
710	0.16839	0.24215	0.61991		99.82783	99.75404	99.37623
711	0.16725	0.25165	0.64952		99.82899	99.74456	99.34664
712	0.16666	0.26209	0.68056		99.82961	99.73414	99.31563
713	0.16664	0.2735	0.71306		99.82964	99.72275	99.28315
714	0.16723	0.2859	0.74704		99.82908	99.71037	99.2492
715	0.16844	0.29932	0.78252		99.82789	99.69698	99.21374
716	0.17031	0.31379	0.81953		99.82604	99.68253	99.17675
717	0.17285	0.32933	0.85809		99.82352	99.66702	99.13821
718	0.17611	0.34596	0.89823		99.82029	99.6504	99.0981
719	0.18009	0.36373	0.93996		99.81633	99.63265	99.05639
720	0.18482	0.38264	0.9833		99.81161	99.61376	99.01307
721	0.19035	0.40273	1.02828		99.80611	99.5937	98.96811
722	0.19667	0.42402	1.07491		99.7998	99.57242	98.9215
723	0.20384	0.44654	1.12322		99.79266	99.54993	98.87321
